"Book Number","Title","Author","Description","Publisher","ISBN","PRICE USED","PRICE NEW","BOX NUMBER","No. of Pages","KEEP","SELL","Notes",
1,"Action English Pictures","Noriko Takahashi & Maxine Frauman-Prickel","Activities for Total Physical Response","Alemany Press","0-88084-212-1",,,1,110,,,,
2,"The Count of Monte Cristo","Alexandre Dumas Adapted by Steven Grant and Dan Spiegle","Classics Illustrated","Berkley/First Publishing","0-425-12028-7",,,1,44,,,,
3,"A Christman Carol","Charles Dickens adapted by Joe Staton","Classics Illustrated","Berkley/First Publishing","0-425-12334-0",,,1,44,,,,
4,"Treasure Island","Robert Louis Stevenson adapted by Pat Boyette","Classics Illustrated","Berkley/First Publishing","0-425-12335-9",,,1,44,,,,
5,"Beauty and the Beast","Bobby JG Weiss adapted by Colleen Doran and Dave Hunt","Disney's Cartoon Tales/A tale of Enchantment","W.D. Publications, Inc.","1-56115-267-6",,,1,48,,,,
6,"Aesop's Fables","adapted by Eric Vincent","Classics Illustrated","First Publishing","0-915419-73-4",,,1,44,,,,
7,"Grandes Esperancas","Charles Dickens adapted by Rick Geary","Classics Illustrated","Berkley/First Publishing","None",,,1,44,,,,
8,"Wuthering Heights","Emily Bronte adapted by Rick Geary","Classics Illustrated","Berkley/First Publishing","0-425-12259-X",,,1,44,,,,
9,"Robinsoe Crusoe","Daniel Defoe adapted by Sam Wray and Pat Boyette","Classics Illustrated","Berkley/First Publishing","0-425-12664-1",,,1,44,,,,
10,"Great Expectations","Charles Dickens adapted by Rick Geary","Classics Illustrated","Berkley/First Publishing","0-425-12021-X",,,1,44,,,,
11,"The Adventures of Tom Sawyer","Mark Twain adapted by Michael Ploog","Classics Illustrated","Berkley/First Publishing","0-425-11241-7",,,1,44,,,,
12,"The Devil's Dictionary and other works","Ambrose Bierce adapted by Gahan Wilson","Classics Illustrated","Berkley/First Publishing","0-425-12523-8",,,1,44,,,,
13,"The Call of the Wild","Jack London adapted by  Charles Dixon and Ricardo Villagran","Classics Illustrated","Berkley/First Publishing","0-425-12030-9",,,1,44,,,,
14,"Ivanhoe","Sir Walter Scott adapted by Mark Wayne Harris and Ray Lago","Classics Illustrated","Berkley/First Publishing","0-425-12526-2",,,1,44,,,,
15,"The Jungle Books","Rudyard Kipling adapted by Jeffrey Busch","Classics Illustrated","Berkley/First Publishing","0-425-12762-1",,,1,44,,,,
16,"Two Years Before the Mast","R.H. Dana, JR. adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-482-3",,,1,62,,,,
17,"The Prince and the Pauper","Sir Walter Scott adapted by Mark Wayne Harris and Ray Lago","Regents Illustrated Classics","Prentice Hall Regents","0-13-703027-4",,,1,62,,,,
18,"The Flayed Hand & Other Famous Mysteries","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0166-8",,,1,62,,,,
19,"Moby Dick","Herman Melville adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-463-7",,,1,62,,,,
20,"The Moonstone","William Wilkie Collins","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-474-2",,,1,62,,,,
21,"Robin Hood","adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-781923-4",,,1,62,,,,
22,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
23,"Treasure Island","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-930629-3",,,1,62,,,,
24,"The Last of the Mohicans","James Fenimore Cooper","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-480-7",,,1,62,,,,
25,"Treasure Island","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-481-5",,,1,62,,,,
26,"Robin Hood","adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-88345-473-4",,,1,62,,,,
27,"A Connecticut Yankee in King Arthur's Court","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-478-5",,,1,62,,,,
28,"The Flayed Hand & Other Famous Mysteries","adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-471-8",,,1,62,,,,
29,"The Flayed Hand & Other Famous Mysteries","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0166-8",,,1,62,,,,
30,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-444605-4",,,1,62,,,,
31,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
32,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
33,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
34,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0113-7",,,1,62,,,,
35,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0113-7",,,1,62,,,,
36,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-465-3",,,1,62,,,,
37,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-465-3",,,1,62,,,,
38,"The Moonstone","William Wilkie Collins","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-474-2",,,1,62,,,,
39,"The Moonstone","William Wilkie Collins","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-474-2",,,1,62,,,,
40,"Gulliver's Travels","Jonathan Swift","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-477-7",,,1,62,,,,
41,"Gulliver's Travels","Jonathan Swift","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-477-7",,,1,62,,,,
42,"Robinson Crusoe","Daniel Defoe adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-469-6",,,1,62,,,,
43,"Robin Hood ","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0164-1",,,1,62,,,,
44,"Robin Hood","adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-473-4",,,1,62,,,,
45,"The Hunchback of Notredame","Victor Hugo","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0114-5",,,1,62,,,,
46,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0113-7",,,1,62,,,,
47,"Robinson Crusoe","Daniel Defoe adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-781931-5",,,1,62,,,,
48,"Frankenstein","Mary Shelley","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-467-X",,,1,62,,,,
49,"The Hunchback of Notredame","Victor Hugo","Regents Illustrated Classics","Prentice Hall Regents","0-13-448085-6",,,1,62,,,,
50,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0112-9",,,1,62,,,,
51,"Frankenstein","Mary W. Shelley","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0165-X",,,1,62,,,,
52,"Frankenstein","Mary Shelley","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0165-X",,,1,62,,,,
53,"Frankenstein","Mary W. Shelley","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88346-467-X",,,1,62,,,,
54,"The Last of the Mohicans","James Fenimore Cooper","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-480-7",,,1,62,,,,
55,"Moby Dick","Herman Melville adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-463-7",,,1,62,,,,
56,"Robinsoe Crusoe","Daniel Defoe adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-469-6",,,1,62,,,,
57,"The Hunchback of Notredame","Victor Hugo","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0114-5",,,1,62,,,,
58,"The Count of Monte Cristo","Alexandre Dumas adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-472-6",,,1,62,,,,
59,"Robin Hood ","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0164-1",,,1,62,,,,
60,"Robin Hood ","adapted by Elaine Kim","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0164-1",,,1,62,,,,
61,"Frankenstein","Mary Shelley","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0165-X",,,1,62,,,,
62,"The Hunchback of Notredame","Victor Hugo","Regents Illustrated Classics","Ao Livro Tecnico S/A Industria e Comercio","85-215-0114-5",,,1,62,,,,
63,"The Three Musketeers","Alexandre Dumas Adapted Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-920463-6",,,1,62,,,,
64,"The Flayed Hand & Other Famous Mysteries","adapted by Elaine Kim","Regents Illustrated Classics","Prentice Hall Regents","0-13-322249-7",,,1,62,,,,
65,"Oliver Twist","Charles Dickens adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-466-1",,,1,62,,,,
66,"Sea Wolf","Jack London adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-13-796798-5",,,1,62,,,,
67,"Huckleberry Finn","Mark Twain adapted by Elaine Kim","Regents Illustrated Classics","Regents Publishing Company, Inc.","0-88345-464-5",,,1,62,,,,
68,"O Conde de Monte Cristo","Alexandre Dumas","Classics Illustrated","Berkley/First Publishing","None",,,1,44,,,,
69,"Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson illustrated byTudor Humphries","Longman Classics","Longman","0-582-01818-8",,,1,57,,,,
70,"The Count of Monte Cristo","Alexandre Dumas","Longman Classics","Longman","0-582-01820-X",,,1,74,,,,
71,"The Swiss Family Robinson","Johann Wyss","Longman Classics","Longman","0-582-54157-3",,,1,74,,,,
72,"The Adventures of Huckleberry Finn","Mark Twain Illustrated by Chris Molan","Longman Classics","Longman","0-582-03585-6",,,1,72,,,,
73,"Five Famous Fairy Tales","Illustrated by Gwen Tourret","Longman Classics","Longman","0-582-03510-4",,,1,58,,,,
74,"Black Beauty","Anna Sewell illustrated by Victor Ambrus","Longman Classics","Longman","0-582-54145-X",,,1,58,,,,
75,"Alice in Wonderland","Lewis Carroll","Longman Classics","Longman","0-582-52278-1",,,1,56,,,,
76,"A Tale of Two Cities","Charles Dickens ","Longman Classics","Longman","0-582-03047-1",,,1,73,,,,
77,"Tales from the Arabian Nights","illustrated by Per Dahlberg","Longman Classics","Longman","0-582-54151-4",,,1,73,,,,
78,"The Three Musketeers","Alexandre Dumas simplified by D K Swan","Longman Classics","Longman","0-582-01384-4",,,1,58,,,,
79,"King Arthur and the Knights of the Round Table","Illustrated by John James","Longman Classics","Longman","0-582-03509-0",,,1,42,,,,
80,"Heidi","Johanna Spyri","Longman Classics","Longman","0-582-01815-3",,,1,58,,,,
81,"Robin Hood","Illustrated by Chris Ryley","Longman Classics","Longman","0-582-52287-0",,,1,57,,,,
82,"King Solomon's Mines","Sir H Rider Haggard","Longman Classics","Longman","0-582-01821-8",,,1,74,,,,
83,"Tales from the Arabian Nights","Illustrated by Per Dahlberg","Longman Classics","Longman","0-582-54151-4",,,1,73,,,,
